grid_id,grid_score,grid_segment
157,1.0,bad
209,6.59,bad
1131,1.0,bad
1138,1.0,bad
1383,1.0,bad
1588,1.0,bad
1830,1.0,bad
1853,1.0,bad
2367,11.44,bad
2550,1.0,bad
2589,1.0,bad
2948,1.09,bad
3010,6.19,bad
3044,1.0,bad
3739,1.03,bad
3746,1.0,bad
4002,1.0,bad
4686,5.78,bad
5450,1.0,bad
5618,1.02,bad
5676,1.0,bad
5868,1.98,bad
6075,13.67,bad
6092,1.0,bad
6330,1.0,bad
6393,1.0,bad
6771,22.44,bad
7033,7.88,bad
7055,1.04,bad
7271,1.0,bad
7296,1.52,bad
7347,1.0,bad
7510,9.49,bad
7823,1.0,bad
7831,1.04,bad
8239,1.0,bad
8466,1.09,bad
9475,1.0,bad
9838,17.81,bad
10186,1.0,bad
10367,5.86,bad
10423,1.0,bad
10987,8.78,bad
11132,1.0,bad
11156,1.02,bad
11404,9.04,bad
11483,1.0,bad
11658,16.95,bad
11875,1.0,bad
12087,1.0,bad
12179,1.0,bad
12180,1.0,bad
12356,34.07,bad
12666,1.0,bad
12872,1.0,bad
13351,1.0,bad
13361,6.68,bad
13366,1.0,bad
13388,1.0,bad
13704,1.0,bad
13870,1.0,bad
13985,4.27,bad
14327,1.0,bad
14519,1.02,bad
14788,1.0,bad
15021,1.63,bad
15292,1.0,bad
15437,1.0,bad
15522,1.0,bad
15532,1.17,bad
15743,1.0,bad
15958,1.05,bad
16187,2.04,bad
16189,5.91,bad
16231,1.0,bad
16325,1.0,bad
16459,1.0,bad
16598,1.05,bad
16861,1.0,bad
16905,1.04,bad
16952,1.01,bad
17185,1.0,bad
17379,1.07,bad
17441,5.38,bad
17444,9.81,bad
17655,13.16,bad
17810,7.6,bad
17871,1.0,bad
17903,1.04,bad
18339,1.0,bad
18342,1.03,bad
18572,1.0,bad
18613,3.47,bad
18814,1.0,bad
19264,43.3,bad
19528,3.42,bad
19554,1.0,bad
20707,8.31,bad
21253,1.0,bad
21260,5.04,bad
21986,3.67,bad
22132,4.7,bad
22998,4.22,bad
23029,5.36,bad
23786,1.07,bad
24456,3.63,bad
24729,1.0,bad
25351,25.56,bad
25411,11.18,bad
25448,1.26,bad
25555,6.12,bad
26505,7.04,bad
26626,1.2,bad
26851,1.0,bad
26862,5.92,bad
26870,1.08,bad
26874,4.58,bad
26895,2.94,bad
27326,1.43,bad
27365,29.98,bad
27697,31.23,bad
27852,1.0,bad
28524,1.4,bad
28898,31.3,bad
28900,31.87,bad
29049,1.05,bad
29169,19.02,bad
29203,1.0,bad
29393,38.68,bad
29755,1.0,bad
29770,1.02,bad
29887,36.86,bad
30129,43.55,bad
30485,1.0,bad
30491,1.0,bad
30578,62.31,bad
30665,1.52,bad
30948,1.01,bad
31150,1.0,bad
31365,57.85,bad
31523,28.08,bad
32375,1.05,bad
33050,1.15,bad
34038,1.0,bad
34234,1.06,bad
34237,1.49,bad
34576,5.97,bad
34591,1.03,bad
35109,26.6,bad
35226,1.77,bad
35227,5.26,bad
35347,24.24,bad
35704,6.23,bad
36377,5.15,bad
37025,35.54,bad
38001,18.93,bad
38239,12.4,bad
38257,30.71,bad
38273,1.0,bad
38487,13.57,bad
39175,26.94,bad
39752,1.0,bad
39830,8.28,bad
40349,46.07,bad
40899,8.28,bad
42044,22.8,bad
42127,1.0,bad
42265,28.73,bad
42563,18.12,bad
44205,8.8,bad
44750,1.0,bad
45317,9.04,bad
45778,1.0,bad
46252,1.0,bad
46893,1.0,bad
46911,8.66,bad
47322,1.09,bad
47387,1.0,bad
47608,1.0,bad
47609,1.04,bad
47612,1.0,bad
47791,1.0,bad
47799,24.65,bad
48104,1.0,bad
48338,1.0,bad
48339,1.0,bad
48401,1.0,bad
48831,1.0,bad
49033,1.0,bad
49361,1.0,bad
49529,1.0,bad
49531,1.0,bad
49597,1.0,bad
49827,1.0,bad
49997,1.0,bad
50238,1.0,bad
50587,4.41,bad
50588,9.23,bad
50695,1.04,bad
50711,1.07,bad
51058,1.51,bad
51564,6.01,bad
51816,1.11,bad
51834,1.06,bad
51906,1.0,bad
51922,1.0,bad
52155,1.0,bad
52300,1.0,bad
52303,1.0,bad
52380,1.0,bad
52403,1.0,bad
52446,1.0,bad
52529,1.1,bad
52557,1.0,bad
52776,1.0,bad
52777,1.0,bad
53212,1.5,bad
53213,4.4,bad
53244,2.06,bad
